Date,Open_Interest,Prod_Merch_Long,Prod_Merch_Short,Swaps_Long,Swaps_Short,Mana_M_Long,Mana_M_Short
2006-06-13,1697172,363858,455968,145598,93366,121365,91007
2006-06-20,1560200,325138,425078,154153,84988,116693,88336
2006-06-27,1591677,325150,423772,147432,102669,128005,69731
2006-07-03,1635218,327513,438406,144389,108192,142472,59261
2006-07-11,1700141,348625,452829,138045,117903,150447,62864
2006-07-18,1706416,368153,478217,138216,127794,160861,62932
2006-07-25,1676127,341108,432789,133865,128960,142002,63899
2006-08-01,1762638,365264,471007,133055,129521,153322,58206
2006-08-08,1849874,397640,504560,124242,127904,164509,57616
2006-08-15,1883364,420597,507075,119783,130317,143045,56423
2006-08-22,1741440,379404,456742,125111,130780,130209,67380
2006-08-29,1808704,408539,481577,120751,117658,124683,71323
2006-09-05,1862186,420309,488436,122190,113153,120314,77427
2006-09-12,2018360,478579,536615,130121,110640,117519,85303
2006-09-19,1928169,444034,506320,144359,107058,111496,87597
2006-09-26,1968523,421211,504403,152970,106993,114665,84097
2006-10-03,2054608,502979,577204,157435,104999,109121,96411
2006-10-10,2108079,523358,597843,153252,102645,115259,99338
2006-10-17,2003402,496379,582709,159418,98885,115022,85107
2006-10-24,1989902,510734,604186,163123,100768,104458,82083
2006-10-31,2042934,500692,585148,159008,104601,116141,94324
2006-11-07,2048030,508962,591500,156244,109279,119770,80522
2006-11-14,1874398,496058,563609,166813,116850,121269,85388
2006-11-21,1854012,474487,563995,155830,105314,123573,88199
2006-11-28,1887299,483193,566023,153290,108641,124416,82640
2006-12-05,1937593,491075,579873,158626,100508,126633,72919
2006-12-12,1951987,514655,590940,157340,109740,128361,82735
2006-12-19,1825990,480312,562185,163350,105710,122823,71830
2006-12-26,1866730,494418,563921,153115,107533,123056,83370
2007-01-03,1993730,538538,571549,138089,113011,124217,103266
2007-01-09,2160610,555741,607988,144626,106171,127168,110174
2007-01-16,2397151,601580,655042,130400,132697,134071,91756
2007-01-23,2273709,526330,619265,152031,103928,129544,90757
2007-01-30,2345199,545253,653086,163063,90361,124834,83473
2007-02-06,2362409,546827,655975,185846,88918,110167,84243
2007-02-13,2412009,584324,703113,188612,94541,119515,72456
2007-02-20,2208465,533643,638933,188093,99211,119133,73766
2007-02-27,2267549,550666,681392,195282,100857,124015,73721
2007-03-06,2290198,554097,681581,188568,101901,120065,67050
2007-03-13,2347484,577781,701502,181758,108035,129635,64643
2007-03-20,2257707,571600,690431,180342,113269,121893,82077
2007-03-27,2314141,559332,704563,193593,94527,123613,78218
2007-04-03,2402816,601689,752048,184883,104557,134956,63871
2007-04-10,2366210,585574,730329,180447,121353,135887,59345
2007-04-17,2267526,557278,713315,188120,115980,136183,65986
2007-04-24,2297510,562753,714477,196697,116057,125699,68177
2007-05-01,2344579,581856,741673,198932,114544,123425,62608
2007-05-08,2401661,620600,764581,198554,123026,122641,74674
2007-05-15,2445689,635553,773800,209083,116432,120605,86717
2007-05-22,2183553,546626,709471,204794,125960,130057,64532
2007-05-29,2241823,584587,711754,194201,136217,127259,80411
2007-06-05,2289919,588644,741432,195432,127883,129275,66251
2007-06-12,2301384,594334,744567,195962,129879,129893,64182
2007-06-19,2268344,570222,738233,192988,130154,150149,47802
2007-06-26,2316574,582548,727835,167822,131926,142961,56417
2007-07-03,2440230,604427,766640,164247,130477,164113,53415
2007-07-10,2533297,617394,789980,164187,131616,180269,52787
2007-07-17,2453667,582775,765659,160909,127433,191395,51644
2007-07-24,2440171,568876,763366,171156,131189,197164,53082
2007-07-31,2566070,611411,802482,165126,138778,209181,49163
2007-08-07,2549792,621201,789172,149912,135764,168723,46359
2007-08-14,2573377,398268,555630,159746,128232,153415,57377
2007-08-21,2392617,366283,497770,156640,120284,141264,70510
2007-08-28,2392864,354762,488366,167542,116506,142664,75729
2007-09-04,2471250,364075,521803,174656,121406,161343,61754
2007-09-11,2577303,385695,542966,172777,119196,177705,75376
2007-09-18,2428359,344406,536557,179182,120539,196227,63718
2007-09-25,2402025,332368,495460,174685,133604,198824,72284
2007-10-02,2471851,352051,509934,174190,140365,190594,56244
2007-10-09,2506061,366581,528857,176691,141309,196799,62032
2007-10-16,2666288,411227,565793,171829,141364,207549,72814
2007-10-23,2523149,349825,510133,170944,133547,200691,66658
2007-10-30,2668726,384925,533599,168265,144568,198614,57670
2007-11-06,2837453,413788,558405,165456,153881,214874,62591
2007-11-13,2494790,369305,503582,188075,176912,187703,62366
2007-11-20,2506389,371455,496169,201354,192194,207832,75593
2007-11-27,2532820,381807,507418,196995,191544,198765,75856
2007-12-04,2575868,378466,514949,201822,182423,178296,69836
2007-12-11,2591489,369425,506501,200526,176795,182190,68700
2007-12-18,2426931,328058,477840,206352,166280,183274,83738
2007-12-24,2427255,326192,485141,205515,167728,194795,82678
2007-12-31,2508971,346387,500297,195357,173428,204081,82585
2008-01-08,2628361,374653,528680,194780,180726,205521,83543
2008-01-15,2699080,404333,561580,199728,177739,191078,83119
2008-01-22,2532490,329256,476755,208137,163644,178238,91916
2008-01-29,2598793,351807,496978,216133,167699,186008,101487
2008-02-05,2677627,359904,502432,223320,162500,175552,104208
2008-02-12,2713555,347739,504763,216717,162518,198900,94719
2008-02-19,2588244,326483,482305,204457,170690,220948,91355
2008-02-26,2699603,363094,522093,198679,184636,243995,93507
2008-03-04,2821364,379119,531009,192260,189210,231886,87857
2008-03-11,2953909,420553,567160,200614,195477,231294,81898
2008-03-18,2799189,373895,519026,196406,179422,218118,83732
2008-03-25,2805340,364417,487857,191347,172899,198229,85657
2008-04-01,2874785,381106,489048,187672,169559,195918,97707
2008-04-08,2943792,392420,502809,186020,182451,212560,86870
2008-04-15,3011309,401644,515224,191480,190525,221608,86864
2008-04-22,2796262,332992,450286,188046,190348,227982,78963
2008-04-29,2900894,361021,471013,184984,184299,221842,90079
2008-05-06,3035996,400073,505069,187735,188244,237941,92795
2008-05-13,3149667,438022,548331,187408,188690,232169,83953
2008-05-20,2773140,344030,453394,188683,177416,222420,99184
2008-05-27,2792309,365320,462135,178271,167116,198099,94432
2008-06-03,2887877,387465,486249,176068,162650,193769,95033
2008-06-10,3036973,418919,524098,185059,172934,191635,90102
2008-06-17,2811842,346668,456031,176868,154670,182032,89640
2008-06-24,2802753,331890,447882,175184,146667,184917,90479
2008-07-01,2873708,333691,448781,163145,146072,183772,91954
2008-07-08,2920180,357515,458753,163643,144238,178842,104047
2008-07-15,2974130,268098,369015,158436,141465,175676,91959
2008-07-22,2732781,218253,309608,162309,133317,156919,87421
2008-07-29,2784591,211989,303341,154486,134667,155726,76694
2008-08-05,2863527,224099,308107,158554,137833,146406,77645
2008-08-12,2921484,223193,300620,164953,136401,138300,81143
2008-08-19,2714860,204777,299235,164922,134575,144661,84614
2008-08-26,2740721,185686,288179,166091,135377,145341,79560
2008-09-02,2846254,199712,291145,166250,137433,133871,78418
2008-09-09,2961294,212671,300646,161822,126575,120795,79605
2008-09-16,3232663,226858,324422,162083,137199,121638,76407
2008-09-23,2776137,190116,292709,167535,127002,124794,83697
2008-09-30,2840032,191796,294296,164623,121168,117516,72508
2008-10-07,2980374,208100,303521,180311,112324,104004,76179
2008-10-14,3102850,219881,313157,175437,116497,101855,67427
2008-10-21,2996852,212720,316578,168840,117133,103741,65566
2008-10-28,3220414,223989,317181,163202,125383,109270,63084
2008-11-04,3198306,230858,318568,154283,118308,107001,63748
2008-11-11,3329695,253635,343988,138184,125316,116346,58673
2008-11-18,2810519,224131,317260,163217,152651,106357,55429
2008-11-25,2911015,232414,347391,170785,143881,107203,56768
2008-12-02,3013932,239298,354725,166649,149283,111918,56452
2008-12-09,3143439,240305,363041,151889,156635,130893,53242
2008-12-16,2936895,236697,362164,163605,163722,124600,47640
2008-12-22,2972098,246849,388468,181448,167287,142992,56805
2008-12-30,3015783,257925,409860,182857,158992,140884,58553
2009-01-06,3045278,259404,414402,171270,144403,139836,54981
2009-01-13,3103803,271064,433224,181291,135051,143411,70803
2009-01-20,3018664,275019,435386,186475,137299,154239,70516
2009-01-27,3036928,275538,443401,185003,137409,151486,61330
2009-02-03,3040117,280122,457996,184942,130718,164814,71055
2009-02-10,3031678,264974,438897,181135,126487,160834,84911
2009-02-17,2867484,258233,426867,182512,113631,162133,94696
2009-02-24,2838829,243673,424786,192060,108423,149665,92859
2009-03-03,2897056,267219,431217,189997,100050,137552,101718
2009-03-10,2913381,296784,462601,194183,107779,130676,79616
2009-03-17,2799722,289843,471885,193972,103483,143451,70066
2009-03-24,2787527,295175,467867,180683,111825,142534,61732
2009-03-31,2793136,298618,458487,173100,106568,133627,69480
2009-04-07,2789911,308102,469225,169825,101803,137348,59603
2009-04-14,2801427,309594,476227,180735,110372,132284,63176
2009-04-21,2684405,270089,444821,187884,99385,127473,82182
2009-04-28,2655967,276408,452844,204823,98647,122961,73445
2009-05-05,2703379,293696,469657,202328,99602,127875,70076
2009-05-12,2757555,304697,478488,192726,104442,124646,58023
2009-05-19,2348926,243586,425051,190169,115798,130605,49273
2009-05-26,2367701,238568,429045,188803,115714,138694,50313
2009-06-02,2532499,260234,453495,195091,128272,145544,58653
2009-06-09,2607630,272079,456139,177316,129629,151221,55603
2009-06-16,2639801,285645,455244,179530,123859,138206,64261
2009-06-23,2466226,244672,418494,179817,119047,140359,55427
2009-06-30,2535774,255687,421769,173857,123498,149284,56564
2009-07-07,2591765,278842,438250,183142,120552,134339,65857
2009-07-14,2733764,303407,474699,186979,113333,127598,64929
2009-07-21,2622216,287602,450006,195693,116374,136926,78373
2009-07-28,2682555,299563,457339,191511,121547,146815,79200
2009-08-04,2795507,312221,469043,170467,139891,167654,57836
2009-08-11,2788486,302235,448483,169948,148703,162454,58445
2009-08-18,2697869,280441,436150,180785,142033,157151,59373
2009-08-25,2733367,271379,436316,174255,154817,175545,59385
2009-09-01,2772709,286318,445270,178057,154321,149957,66399
2009-09-08,2778011,308127,464320,181102,158428,149211,55623
2009-09-15,2815564,293094,459042,183804,160888,156361,45702
2009-09-22,2695585,274486,449649,177471,157516,162690,43560
2009-09-29,2790345,283023,456709,197586,157419,152509,71978
2009-10-06,2903926,330118,492690,194119,156931,166641,56870
2009-10-13,2963498,327636,493583,184314,163226,189053,52921
2009-10-20,2919859,308295,482837,178147,172609,215637,50956
2009-10-27,2933822,326564,505045,174563,177755,227690,47315
2009-11-03,2905903,335034,528661,163102,173044,224696,43560
2009-11-09,2908870,340695,538481,165766,167759,199135,42347
2009-11-17,2491200,293262,512711,214673,176813,189923,40787
2009-11-24,2453132,318751,533740,206879,167987,166091,49426
2009-12-01,2508198,318172,531557,215984,172773,175769,49213
2009-12-08,2549095,320511,535898,218484,169481,158750,58303
2009-12-15,2549500,308294,537594,239699,162948,162720,71576
2009-12-22,2406250,296742,537486,236693,150268,165994,57585
2009-12-29,2438030,305365,542879,225906,161876,182003,48261
